"artist","track","energy","loudness","tempo"
"Scooter","Maria - Radio Edit","0.997","-3.583","142.941"
"Lamb of God","Redneck","0.996","-2.1","130.931"
"Mägo de Oz","El libro de las sombras","0.996","-2.124","159.054"
"Metallica","Lux Æterna","0.996","-2.96","130.573"
"The Prodigy","No Good (Start the Dance)","0.996","-4.343","144.993"
"The Prodigy","Breathe - Mefjus & Camo & Krooked Remix","0.995","-0.295","175"
"Killswitch Engage","Holy Diver","0.995","-2.584","185.985"
"Bullet For My Valentine","Waking the Demon","0.995","-3.203","127.908"
"The Prodigy","Smack My Bitch Up","0.995","-3.641","136.216"
"Kordhell","Murder In My Mind - Sped Up","0.994","-0.89","151.135"
